## Columns = 00000 count, 00001 count, 00010 count, 00011 count, 00100 count, 00101 count, 00110 count, 00111 count, 01000 count, 01001 count, 01010 count, 01011 count, 01100 count, 01101 count, 01110 count, 01111 count, 10000 count, 10001 count, 10010 count, 10011 count, 10100 count, 10101 count, 10110 count, 10111 count, 11000 count, 11001 count, 11010 count, 11011 count, 11100 count, 11101 count, 11110 count, 11111 count
Gy:4([])^8Gy:4@(0,1,2,3,4)  7442  0  0  0  471  0  0  0  157  0  0  0  14  0  0  0  101  0  0  0  5  0  0  0  2  0  0  0  0  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gx:4]([])[Gx:0Gx:1Gx:2Gx:3Gx:4]@(0,1,2,3,4)  4  0  0  0  23  0  0  0  47  0  0  0  430  0  0  0  35  0  0  0  316  0  0  0  585  0  0  0  6752  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gx:4]([])^2[Gx:0Gx:1Gx:2Gx:3Gx:4]@(0,1,2,3,4)  3  0  0  0  13  0  0  0  42  0  0  0  450  0  0  0  36  0  0  0  318  0  0  0  610  0  0  0  6720  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gx:4]([])^4[Gx:0Gx:1Gx:2Gx:3Gx:4]@(0,1,2,3,4)  2  0  0  0  22  0  0  0  39  0  0  0  433  0  0  0  27  0  0  0  336  0  0  0  602  0  0  0  6731  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gx:4]([])^8[Gx:0Gx:1Gx:2Gx:3Gx:4]@(0,1,2,3,4)  2  0  0  0  14  0  0  0  43  0  0  0  460  0  0  0  34  0  0  0  342  0  0  0  647  0  0  0  6650  0  0  0
[Gx:0Gx:2Gx:4]([])[Gx:0Gx:2Gx:4]@(0,1,2,3,4)  43  0  0  0  461  0  0  0  0  0  0  0  9  0  0  0  657  0  0  0  6768  0  0  0  18  0  0  0  236  0  0  0
[Gx:0Gx:2Gx:4]([])^2[Gx:0Gx:2Gx:4]@(0,1,2,3,4)  45  0  0  0  462  0  0  0  1  0  0  0  14  0  0  0  638  0  0  0  6827  0  0  0  16  0  0  0  189  0  0  0
[Gx:0Gx:2Gx:4]([])^4[Gx:0Gx:2Gx:4]@(0,1,2,3,4)  44  0  0  0  444  0  0  0  1  0  0  0  12  0  0  0  675  0  0  0  6831  0  0  0  19  0  0  0  166  0  0  0
[Gx:0Gx:2Gx:4]([])^8[Gx:0Gx:2Gx:4]@(0,1,2,3,4)  37  0  0  0  441  0  0  0  1  0  0  0  15  0  0  0  679  0  0  0  6819  0  0  0  15  0  0  0  185  0  0  0
[Gx:0Gx:1Gx:4]([])[Gx:0Gx:1Gx:4]@(0,1,2,3,4)  25  0  0  0  1  0  0  0  449  0  0  0  32  0  0  0  338  0  0  0  18  0  0  0  6775  0  0  0  554  0  0  0
[Gx:0Gx:1Gx:4]([])^2[Gx:0Gx:1Gx:4]@(0,1,2,3,4)  19  0  0  0  2  0  0  0  432  0  0  0  44  0  0  0  337  0  0  0  18  0  0  0  6915  0  0  0  425  0  0  0
[Gx:0Gx:1Gx:4]([])^4[Gx:0Gx:1Gx:4]@(0,1,2,3,4)  23  0  0  0  1  0  0  0  479  0  0  0  35  0  0  0  340  0  0  0  18  0  0  0  6831  0  0  0  465  0  0  0
[Gx:0Gx:1Gx:4]([])^8[Gx:0Gx:1Gx:4]@(0,1,2,3,4)  23  0  0  0  1  0  0  0  492  0  0  0  34  0  0  0  319  0  0  0  21  0  0  0  6858  0  0  0  444  0  0  0
[Gx:0Gx:1Gx:2Gx:3]([])[Gx:0Gx:1Gx:2Gx:3]@(0,1,2,3,4)  0  0  0  0  31  0  0  0  52  0  0  0  457  0  0  0  41  0  0  0  334  0  0  0  626  0  0  0  6651  0  0  0
[Gx:0Gx:1Gx:2Gx:3]([])^2[Gx:0Gx:1Gx:2Gx:3]@(0,1,2,3,4)  1  0  0  0  32  0  0  0  47  0  0  0  488  0  0  0  32  0  0  0  303  0  0  0  610  0  0  0  6679  0  0  0
[Gx:0Gx:1Gx:2Gx:3]([])^4[Gx:0Gx:1Gx:2Gx:3]@(0,1,2,3,4)  5  0  0  0  18  0  0  0  33  0  0  0  457  0  0  0  30  0  0  0  325  0  0  0  635  0  0  0  6689  0  0  0
