## Columns = 00000 count, 00001 count, 00010 count, 00011 count, 00100 count, 00101 count, 00110 count, 00111 count, 01000 count, 01001 count, 01010 count, 01011 count, 01100 count, 01101 count, 01110 count, 01111 count, 10000 count, 10001 count, 10010 count, 10011 count, 10100 count, 10101 count, 10110 count, 10111 count, 11000 count, 11001 count, 11010 count, 11011 count, 11100 count, 11101 count, 11110 count, 11111 count
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]([])^2[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]@(0,1,2,3,4)  5  0  0  0  38  0  0  0  40  0  0  0  471  0  0  0  52  0  0  0  588  0  0  0  627  0  0  0  6371  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]([])^4[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]@(0,1,2,3,4)  2  0  0  0  42  0  0  0  39  0  0  0  443  0  0  0  40  0  0  0  628  0  0  0  611  0  0  0  6387  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]([])^8[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:2Gy:3][Gy:2Gy:3]@(0,1,2,3,4)  3  0  0  0  40  0  0  0  46  0  0  0  511  0  0  0  58  0  0  0  561  0  0  0  631  0  0  0  6342  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4([])[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4@(0,1,2,3,4)  5  0  0  0  49  0  0  0  44  0  0  0  481  0  0  0  47  0  0  0  599  0  0  0  603  0  0  0  6364  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4([])^2[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4@(0,1,2,3,4)  4  0  0  0  37  0  0  0  34  0  0  0  493  0  0  0  52  0  0  0  594  0  0  0  608  0  0  0  6370  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4([])^4[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4@(0,1,2,3,4)  3  0  0  0  48  0  0  0  36  0  0  0  435  0  0  0  54  0  0  0  613  0  0  0  582  0  0  0  6421  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4([])^8[Gy:0Gy:1Gy:2Gy:3Gy:4]Gy:4Gy:4@(0,1,2,3,4)  1  0  0  0  45  0  0  0  47  0  0  0  476  0  0  0  39  0  0  0  586  0  0  0  583  0  0  0  6415  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]([])[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]@(0,1,2,3,4)  0  0  0  0  40  0  0  0  53  0  0  0  480  0  0  0  64  0  0  0  594  0  0  0  593  0  0  0  6368  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]([])^2[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]@(0,1,2,3,4)  1  0  0  0  43  0  0  0  50  0  0  0  464  0  0  0  57  0  0  0  595  0  0  0  564  0  0  0  6418  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]([])^4[Gy:0Gy:1Gy:2Gy:3Gy:4][Gy:0Gy:2Gy:4][Gy:0Gy:2Gy:4]@(0,1,2,3,4)  3  0  0  0  39  0  0  0  57  0  0  0  464  0  0  0  52  0  0  0  594  0  0  0  582  0  0  0  6401  0  0  0
